Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BS-24-B4AK014",-204.198921,-152.450000,90.000000,bottom
"TP3","USB Test Point","USB_TestPoint",-180.100000,-146.350000,180.000000,bottom
